8.427944358508180082e+07,6.470324981903299886e+02,1.780895989184729842e+04,1.724400122971230076e+03,5.803005504371839862e+01
8.428087373134049773e+07,5.988120067121800503e+02,1.671703297469799872e+04,1.438252540093960079e+03,5.417878783904299667e+01
8.428195715168319643e+07,5.578372978595409677e+02,1.588910196562279998e+04,1.227024311795780022e+03,5.089239146482699994e+01
8.428280029370659590e+07,5.427271368849679902e+02,1.518561024149769946e+04,1.104073782644880112e+03,4.930278231644560094e+01
8.428349839266359806e+07,5.636818247401140525e+02,1.449850208938509968e+04,1.071549181972889983e+03,4.988189019845209771e+01
8.428410183443090320e+07,5.972278051730360175e+02,1.384572543709320053e+04,1.086758278165010097e+03,5.046169855211169875e+01
8.428464979254110157e+07,6.114730576308890022e+02,1.327672912261659985e+04,1.095798724369830097e+03,4.821420422786749782e+01
8.428517042968229949e+07,5.873092274562169450e+02,1.282446722026150019e+04,1.058271076161410065e+03,4.153044368592060209e+01
8.428564786516609788e+07,5.567626235731120232e+02,1.245591474958089930e+04,9.877874988157179814e+02,3.367761182550339782e+01
8.428605520745949447e+07,5.646432208010520526e+02,1.212155196643939962e+04,9.114630600341610034e+02,2.914194315560639836e+01
8.428637186106829345e+07,6.388996682004069498e+02,1.178935246595030003e+04,8.509902504317980174e+02,3.090419704770729936e+01
8.428660241465330124e+07,7.400353117951150352e+02,1.149726320022209984e+04,8.063712522782490169e+02,3.592323232323249727e+01
8.428675775291399658e+07,8.116921718500040015e+02,1.130072446061190021e+04,7.721856707567709464e+02,3.965243266609589767e+01
8.428684315255050361e+07,8.171684667655099474e+02,1.123870657851209944e+04,7.442213233247309745e+02,3.875873077785929866e+01
8.428684145826500654e+07,7.983872074844970257e+02,1.128430004545610063e+04,7.230988765359379613e+02,3.476325543067599710e+01
