,DATE,S,I,Q,R,D,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10
28,2020-02-24,51342551.848255284,266.32500297450736,732.8979683107233,7.563140637580961,2.1291544675108565,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
29,2020-02-25,51342194.44108647,346.7556630006322,1009.0062934583725,8.408666327421535,2.1518124133134475,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
30,2020-02-26,51341737.69463885,442.1470690146562,1371.3729603729648,7.3353145760525695,2.213538856892787,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
31,2020-02-27,51341175.255932026,544.6714466554916,1834.8291079707926,3.624820484023433,2.382214533604238,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
32,2020-02-28,51340537.3365092,635.0711311444808,2385.646183420947,0.0,2.7096979104151377,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
33,2020-02-29,51339863.28904445,691.230985098573,3002.95571095572,0.043939284677268375,3.2438418871958206,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
34,2020-03-01,51339190.267014354,697.2093608292008,3663.278218298762,6.042532309041462,3.9663958826042665,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
35,2020-03-02,51338546.62710543,661.7585694257275,4332.690247139159,15.092904285243687,4.594695390449041,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
36,2020-03-03,51337958.52680668,599.8044116719993,4974.657342657358,22.994988235726268,4.77997242332636,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
37,2020-03-04,51337448.05242521,524.8155512243396,5556.758269201144,26.817127669649462,4.320148364048732,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
38,2020-03-05,51337021.005540535,444.43210322898074,6063.024667787668,28.701308043045206,3.599902076293857,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
39,2020-03-06,51336679.116550274,364.83704570463266,6481.601398601419,32.05792529866337,3.1506017939557283,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
40,2020-03-07,51336420.16603805,291.7563547068857,6805.948913823639,39.55260998710862,3.339605107918864,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
41,2020-03-08,51336226.13533148,229.08799843885333,7050.790033622567,50.87193109040474,3.8782270370298733,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
42,2020-03-09,51336075.05594421,180.27294314052958,7236.163170163191,64.95769219843035,4.313771957125893,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
43,2020-03-10,51335950.96468055,147.20841286968786,7376.869368261048,81.41469193527091,4.306368049336269,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
44,2020-03-11,51335861.9195076,125.61666295521893,7466.760203333864,102.4997090618394,3.9674387159592013,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
45,2020-03-12,51335821.98368314,109.67620654379276,7494.449883449906,131.13251737325572,3.521231164585099,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
46,2020-03-13,51335838.99837802,95.28826389815114,7455.5200000786845,167.78902738330893,3.167852287789263,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
47,2020-03-14,51335895.91641543,85.24488374532278,7373.421678294639,203.16969648046452,3.0108477180865503,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
48,2020-03-15,51335969.46853162,84.06082192840806,7278.573426573448,225.53111877185736,3.129622772976707,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
49,2020-03-16,51336040.41977599,94.11491955294602,7194.63105100477,228.03644124983342,3.561333865408016,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
50,2020-03-17,51336105.67245053,109.24235877423031,7118.199548134178,223.4750224475842,4.174141790122914,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
51,2020-03-18,51336166.16317032,121.14240700999322,7039.121212121234,229.54277378351247,4.793958437312375,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
52,2020-03-19,51336228.57513051,123.59575143927529,6943.942155222061,259.3695926995075,5.280891804781837,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
