,S,I,Q,R,D,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10
0,51343542.07692311,6.920961788547664,5.913752913752864,5.6639859047238925,0.18789783125175508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51343540.39804165,7.537149179833239,7.103799541455735,5.536595613564192,0.1879355287818037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,51343538.33407695,8.120930608595032,8.658745408870354,5.461840571563032,0.18792798927579396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,51343536.02377626,8.632849900435776,10.48578088578084,5.433216673954662,0.18789783125175508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,51343533.605886884,9.03345088095821,12.492096341971308,5.444219815973331,0.1878676732277162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,51343531.2191561,9.28327737576507,14.58488214722588,5.488345892853291,0.18786013372170646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
6,51343529.00233116,9.342873210459093,16.671328671328663,5.5590907998287875,0.18789783125175508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
7,51343527.04464631,9.194816300951526,18.683422446266192,5.652655866434487,0.18798076581786202,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
8,51343525.237283476,8.90982092438767,20.652334652834654,5.776064159406704,0.18801846334791064,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
9,51343523.421911575,8.580635448221328,22.634032634032646,5.939044179782169,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
10,51343521.549431935,8.293405160205547,24.590599956016657,6.142488360048293,0.18759625101136618,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
11,51343520.0076757,8.107863029290305,26.108585077574705,6.351944858495214,0.18745300039718146,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
12,51343519.29370645,8.077138944724823,26.680652680652702,6.524125764863755,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
13,51343519.669998445,8.172701138212979,26.10767854983476,6.624122317865238,0.18902121764720373,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
14,51343520.460668705,8.039371211277302,25.42338288025781,6.65054235209299,0.18955652257389402,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
15,51343520.75524491,7.240309107894984,25.96969696969699,6.610372851110842,0.18789783125175508,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
16,51343520.370074466,5.5043513143521645,28.18925305521164,6.519244971141301,0.1805978628023463,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
17,51343522.02878362,3.223040486170773,28.92748713099791,6.4273665590415945,0.15684387195374808,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
18,51343529.181818336,0.953595821181688,24.130536130536147,6.393589634327625,0.10398174733567103,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
19,51343542.15946893,0.0,12.115279875956109,6.461955071721442,0.026817796164085472,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
20,51343548.811403126,4.653289634377644,0.6815697439851425,6.617259166769665,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
21,51343533.86713302,19.951264818850767,0.0,6.829487070225062,0.11563675899068304,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
22,51343485.75782819,48.58569464787586,18.940320698323937,7.048085601551737,0.43159253212643456,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
23,51343407.72128814,83.8642242155908,61.1689050490662,7.14034825505917,0.8687560137696819,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
24,51343306.69696985,116.74846761605383,129.0512820512825,6.9530301937681855,1.3137719571258843,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
25,51343185.562046655,141.72499334845142,225.3529978936431,6.451261738725445,1.6722220275303465,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0
26,51343030.944557235,167.38018753248326,354.4396675232763,6.073673843080966,1.925435538837756,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0
27,51342825.410256565,205.82539069297724,521.0769230769248,6.377272618010609,2.0736787170326463,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
28,51342551.848255284,266.32500297450736,732.8979683107233,7.563140637580961,2.1291544675108565,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
29,51342194.44108647,346.7556630006322,1009.0062934583725,8.408666327421535,2.1518124133134475,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
30,51341737.69463885,442.1470690146562,1371.3729603729648,7.3353145760525695,2.213538856892787,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
31,51341175.255932026,544.6714466554916,1834.8291079707926,3.624820484023433,2.382214533604238,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
32,51340537.3365092,635.0711311444808,2385.646183420947,0.0,2.7096979104151377,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
33,51339863.28904445,691.230985098573,3002.95571095572,0.043939284677268375,3.2438418871958206,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
34,51339190.267014354,697.2093608292008,3663.278218298762,6.042532309041462,3.9663958826042665,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
35,51338546.62710543,661.7585694257275,4332.690247139159,15.092904285243687,4.594695390449041,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
36,51337958.52680668,599.8044116719993,4974.657342657358,22.994988235726268,4.77997242332636,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
37,51337448.05242521,524.8155512243396,5556.758269201144,26.817127669649462,4.320148364048732,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
38,51337021.005540535,444.43210322898074,6063.024667787668,28.701308043045206,3.599902076293857,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
39,51336679.116550274,364.83704570463266,6481.601398601419,32.05792529866337,3.1506017939557283,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
40,51336420.16603805,291.7563547068857,6805.948913823639,39.55260998710862,3.339605107918864,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
41,51336226.13533148,229.08799843885333,7050.790033622567,50.87193109040474,3.8782270370298733,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
42,51336075.05594421,180.27294314052958,7236.163170163191,64.95769219843035,4.313771957125893,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
43,51335950.96468055,147.20841286968786,7376.869368261048,81.41469193527091,4.306368049336269,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
44,51335861.9195076,125.61666295521893,7466.760203333864,102.4997090618394,3.9674387159592013,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
45,51335821.98368314,109.67620654379276,7494.449883449906,131.13251737325572,3.521231164585099,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
46,51335838.99837802,95.28826389815114,7455.5200000786845,167.78902738330893,3.167852287789263,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
47,51335895.91641543,85.24488374532278,7373.421678294639,203.16969648046452,3.0108477180865503,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
48,51335969.46853162,84.06082192840806,7278.573426573448,225.53111877185736,3.129622772976707,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
49,51336040.41977599,94.11491955294602,7194.63105100477,228.03644124983342,3.561333865408016,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
50,51336105.67245053,109.24235877423031,7118.199548134178,223.4750224475842,4.174141790122914,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
51,51336166.16317032,121.14240700999322,7039.121212121234,229.54277378351247,4.793958437312375,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0
